Section Line | Rik ID | Metadata
3            | 8      | ।। शुनः शेप आजीर्गितः अग्निः गायत्री ।।
3            | 9      | ।। गोपवन अत्रयेः अग्निः गायत्री ।।
3            | 10     | ।। वामदेवो गौतमः अग्निः गायत्री ।।
3            | 11     | ।। प्रस्कण्वः अग्निः गायत्री ।।
3            | 12     | ।। मेधातिथिः काण्वः अग्निः गायत्री ।।
3            | 13     | ।। सिन्धुद्वीप आम्बरीषः त्रित आत्यो वा अग्निः गायत्री ।।
3            | 14     | ।। उशना काव्यः अग्निः गायत्री ।।
4            | 1      | ।। शय्युबार्हस्पत्यः  अग्निः बृहती ।।
4            | 2      | ।। भगः प्रागाथः अग्निः बृहती ।।
4            | 3      | ।। शय्युबार्हस्पत्यः  अग्निः बृहती ।।
4            | 4      | ।। वसिष्ठो मैत्रावरुणिः अग्निः बृहती ।।
4            | 5      | ।। भगः प्रागाथः अग्निः बृहती ।।
4            | 6      | ।। प्रस्कण्वः काण्वः अग्निः बृहती ।।
4            | 7      | ।। शय्युबार्हस्पत्यः (तृणपाणिः) अग्निः बृहती ।।
4            | 8      | ।। भगः प्रागाथः अग्निः बृहती ।।
4            | 9      | ।। भगः प्रागाथः अग्निः बृहती ।।
4            | 10     | ।। सोभिरः काण्वः अग्निः बृहती ।।
5            | 1      | ।। वसिष्ठो मैत्रावरुणिः अग्निः बृहती ।।
5            | 2      | ।। भगः प्रागाथः अग्निः बृहती ।।
5            | 3      | ।। सोभिरः काण्वः अग्निः बृहती ।।
5            | 4      | ।। मनवुर्वैस्वस्तः अग्निः बृहती ।।
5            | 5      | ।। सुदीतिपुरुमी-ळावांगिरसौ अग्निः बृहती ।।
5            | 6      | ।। प्रस्कण्वः काण्वः अग्निः बृहती ।।
5            | 7      | ।। सोभिरः काण्वः अग्निः बृहती ।।
5            | 8      | ।। मेधातिमध्येआतिथी काण्वौ इन्द्रः बृहती ।।
5            | 9      | ।। विश्वामित्रो गाथिनः अग्निः बृहती ।।
5            | 10     | ।। कण्वो घौरः अग्निः बृहती ।।
6            | 1      | ।। वसिष्ठो मैत्रावरुणिः अग्निः बृहती ।।
6            | 2      | ।। कण्वो घौरः ब्रह्मणस्पतिः बृहती ।।
6            | 3      | ।। कण्वो घौरः यूपः बृहती ।।
6            | 4      | ।। सोभिरः काण्वः अग्निः बृहती ।।
6            | 5      | ।। कण्वो घौरः अग्निः बृहती ।।
6            | 6      | ।। उत्कीलः कात्यः अग्निः बृहती ।।
6            | 7      | ।। वसिष्ठो मैत्रावरुणिः अग्निः बृहती ।।
6            | 8      | ।। विश्वामित्रो गाथिनः अग्निः बृहती ।।
7            | 1      | ।। श्यावाश्वो वामदेवो वा त्रिष्टुप् ।।
7            | 2      | ।। उपस्तुतो वाहिष्ठव्यः जगती ।।
7            | 3      | ।। बृहदुक्तो वामदेव्यः त्रिष्टुप् ।।
7            | 4      | ।। कुत्स आंगिरसः जगती ।।
7            | 5      | ।। भरद्वाजो बार्हस्पत्यः त्रिष्टुप् ।।
7            | 6      | ।। भरद्वाजो बार्हस्पत्यः ।।
7            | 7      | ।। वामदेवो गौतमः ।।
7            | 8      | ।। वसिष्ठो मैत्रावरुणिः ।।
7            | 9      | ।। त्रिशिरास्त्वष्टुः त्रिष्टुप् ।।
7            | 10     | ।। वसिष्ठो मैत्रावरुणिः त्रिपदाविराटगायत्री ।।
8            | 1      | ।। गय आत्रयेः अग्निः अनुष्टुप् ।।
8            | 2      | ।। वामदेवः अग्निः अनुष्टुप् ।।
8            | 3      | ।। भरद्वाजो बार्हस्पत्यः अग्निः अनुष्टुप् ।।
8            | 4      | ।। भरद्वाजो बार्हस्पत्यः अग्निः अनुष्टुप् ।।
8            | 5      | ।। द्वितो भृगवुाहा आत्रयेः अग्निः अनुष्टुप् ।।
8            | 6      | ।। वस्युव आत्रयेाः अग्निः अनुष्टुप् ।।
8            | 7      | ।। गोपवन आत्रयेः अग्निः अनुष्टुप् ।।
8            | 8      | ।। पूरुरात्रयेः अग्निः अनुष्टुप् ।।
8            | 9      | ।। गोपवन आत्रयेः अग्निः अनुष्टुप् ।।
8            | 10     | ।। वामदेवः, कश्यपो वा मारीचो, मनुर्वा वैवस्वत, उभौ वा अग्निः अनुष्टुप् ।।
9            | 1      | ।। अग्निस्तापसः विश्वेदेवाः अनुष्टुप् ।।
9            | 2      | ।। वामदेवो कश्यपः, असितो दवेलो वा अंगिराः अनुष्टुप् ।।
9            | 3      | ।। वामदेवो कश्यपः, असितो दवेलो वा अग्निः अनुष्टुप् ।।
9            | 4      | ।। सोमाहुतिभागर्वः अग्निः अनुष्टुप् ।।
9            | 5      | ।। पायुभारद्वाजः अग्निः अनुष्टुप् ।।
9            | 6      | ।। प्रस्कण्वः काण्वः अग्निः अनुष्टुप् ।।
10           | 1      | ।। दीर्घतमा औचथ्यः अग्निः उष्णिक् ।।
10           | 2      | ।। विश्वामित्रो गाथिनः अग्निः उष्णिक् ।।
10           | 3      | ।। गौतमो राहूगणः अग्निः उष्णिक् ।।
10           | 4      | ।। विश्वामित्रो गाथिनः अग्निः उष्णिक् ।।
10           | 5      | ।। त्रित आत्यः पवमानः सोमः उष्णिक् ।।
10           | 6      | ।। इरिम्बिठः काण्वः अदितिः उष्णिक् ।।
10           | 7      | ।। विश्वमना वैयश्वः अग्निः उष्णिक् ।।
10           | 8      | ।। विश्वमना वैयश्वः अग्निः उष्णिक् ।।
10           | 9      | ।। ऋजिश्वा भारद्वाजः विश्वेदेवाः उष्णिक् ।।
10           | 10     | ।। विश्वमना वैयश्वः अग्निः उष्णिक् ।।
11           | 1      | ।। प्रयोगो भागर्वः (सोभिरः काण्वः) अग्निः ।।
11           | 2      | ।। सोभिरः काण्वः अग्निः ।।
11           | 3      | ।। सोभिरः काण्वः अग्निः ।।
11           | 4      | ।। प्रयोगो भागर्वः सोभिरः काण्वो वा अग्निः ।।
11           | 5      | ।। सोभिरः काण्वः अग्निः ।।
11           | 6      | ।। सोभिरः काण्वः अग्निः ।।
11           | 7      | ।। सोभिरः काण्वः अग्निः ।।
11           | 8      | ।। विश्वमना वैयश्वः अग्निः ।।
12           | 1      | ।। शय्युबार्हस्पत्यः इन्द्रः  गायत्री ।।
12           | 2      | ।। श्रुतकक्षः सुकक्षो वा आंगिरसः इन्द्रः  गायत्री ।।
12           | 3      | ।। हयतः प्रागाथः इन्द्रः (अग्निर्हवींषि वा) गायत्री ।।
12           | 4      | ।। श्रुतकक्षः (सुकक्षो वा) आंगिरसः इन्द्रः  गायत्री ।।
12           | 5      | ।। श्रुतकक्षः (सुकक्षो वा सुकक्षः) आंगिरसः इन्द्रः  गायत्री ।।
12           | 6      | ।। देवजामय इन्द्रमातरः ऋषिकाः इन्द्रः  गायत्री ।।
12           | 7      | ।। गोषूकश्वसूनूकाण्वायनाै इन्द्रः  गायत्री ।।
12           | 8      | ।। गोषूकश्वसूनूकाण्वायनाै इन्द्रः  गायत्री ।।
12           | 9      | ।। मेधातिथिः काण्वः प्रियमेधश्चांगिरसः इन्द्रः  गायत्री ।।
12           | 10     | ।। मेधातिथिः काण्वः प्रियमेधश्चांगिरसः इन्द्रः  गायत्री ।।
13           | 1      | ।। सुकक्षत्रुतकाै (सुकक्ष आंगिरसः) इन्द्रः  गायत्री ।।
13           | 2      | ।। सुकक्षत्रुतकाै (सुकक्ष आंगिरसः) इन्द्रः  गायत्री ।।
13           | 3      | ।। भारद्वाजः (शय्युबार्हस्पत्यः) इन्द्रः  गायत्री ।।
13           | 4      | ।। श्रुतकक्षः (सुकक्षो वा आंगिरसः) इन्द्रः  गायत्री ।।
13           | 5      | ।। मधछु न्दा वैश्वामित्रः इन्द्रः  गायत्री ।।
13           | 6      | ।। मधछु न्दा वैश्वामित्रः इन्द्रः  गायत्री ।।
13           | 7      | ।। त्रिशोकः काण्वः इन्द्रः  गायत्री ।।
13           | 8      | ।। वसिष्ठोः मैत्रावरुणिः इन्द्रः  गायत्री ।।
13           | 9      | ।। त्रिशोकः काण्वः इन्द्रः (अग्नीन्द्रौ) गायत्री ।।
13           | 10     | ।। त्रिशोकः काण्वः इन्द्रः  गायत्री ।।
14           | 1      | ।। कण्वो घौरः इन्द्रः (मरुतः) गायत्री ।।
14           | 2      | ।। त्रिशोकः इन्द्रः  गायत्री ।।
14           | 3      | ।। वत्सः काण्वः इन्द्रः  गायत्री ।।
14           | 4      | ।। कुसीदी काण्वः इन्द्रः (विश्वेदेवाः) गायत्री ।।
14           | 5      | ।। मेधातिथिः काण्वः इन्द्रः (ब्रह्मणस्पतिः) गायत्री ।।
14           | 6      | ।। श्रुतकक्षः (सुकक्षः) आंगिरसः इन्द्रः  गायत्री ।।
14           | 7      | ।। श्यावाश्व आत्रयेः इन्द्रः (सविता) गायत्री ।।
14           | 8      | ।। प्रगाथः इन्द्रः  गायत्री ।।
14           | 9      | ।। वत्सः काण्वः इन्द्रः  गायत्री ।।
14           | 10     | ।। इरिम्बिठः काण्वः इन्द्रः  गायत्री ।।
15           | 1      | ।। श्रुतकक्षः (सुकक्षः) आंगिरसः इन्द्रः  गायत्री ।।
15           | 2      | ।। मेधातिथिः (शय्युबार्हस्पत्यः) काण्वः इन्द्रः  गायत्री ।।
15           | 3      | ।। गौतमो राहूगणः इन्द्रः  गायत्री ।।
15           | 4      | ।। भरद्वाजो बार्हस्पत्यः इन्द्रः (इन्द्रापषूणौ) गायत्री ।।
15           | 5      | ।। बिन्दुः पूतदक्षो वा आंगिरसः मरुतः गायत्री ।।
15           | 6      | ।। श्रुतकक्षः सुकक्षो वा (सुकक्षः) आंगिरसः इन्द्रः  गायत्री ।।
15           | 7      | ।। श्रुतकक्षः सुकक्षो वा (सुकक्षः) आंगिरसः इन्द्रः  गायत्री ।।
15           | 8      | ।। वत्सः काण्वः इन्द्रः  गायत्री ।।
15           | 9      | ।। शुनः शेप आजीर्गितः इन्द्रः  गायत्री ।।
15           | 10     | ।। शुनः शेप आजीर्गितः वामदेवो वा इन्द्रः  गायत्री ।।
16           | 1      | ।। श्रुतकक्षः सुकक्षो वा आंगिरसः इन्द्रः गायत्री ।।
16           | 2      | ।। वसिष्ठो मैत्रावरुणिः इन्द्रः गायत्री ।।
16           | 3      | ।। मेधातिथिः काण्वः प्रियमेधश्चांगिरसः इन्द्रः गायत्री ।।
16           | 4      | ।। श्रुतकक्षः सुकक्षो वा आंगिरसः इन्द्रः गायत्री ।।
16           | 5      | ।। इरिम्बिठः काण्वः इन्द्रः गायत्री ।।
16           | 6      | ।। मधछु न्दा वैश्वामित्रः इन्द्रः गायत्री ।।
16           | 7      | ।। त्रिशोकः काण्वः इन्द्रः गायत्री ।।
16           | 8      | ।। कुसीदी काण्वः इन्द्रः गायत्री ।।
16           | 9      | ।। शुनः शेप आजीर्गितः इन्द्रः गायत्री ।।
16           | 10     | ।। मधछु न्दा वैश्वामित्रः इन्द्रः गायत्री ।।
17           | 1      | ।। विश्वामित्रो गाथिनः इन्द्रः  गायत्री ।।
17           | 2      | ।। मधछु न्दा वैश्वामित्रः इन्द्रः  गायत्री ।।
17           | 3      | ।। कुसीदी काण्वः इन्द्रः  गायत्री ।।
17           | 4      | ।। प्रियमेध आंगिरसः इन्द्रः  गायत्री ।।
17           | 5      | ।। वामदेवो गौतमः इन्द्रः  गायत्री ।।
17           | 6      | ।। श्रुतकक्षः सुकक्षोः वा आंगिरसः  इन्द्रः  गायत्री ।।
17           | 7      | ।। मेधातिथिः काण्वः इन्द्रः (सदसस्पतिः) गायत्री ।।
17           | 8      | ।। वामदेवो गौतमः इन्द्रः  गायत्री ।।
17           | 9      | ।। श्रुतकक्षः सुकक्षोः वा आंगिरसः (सुकक्ष आंगिरसः) इन्द्रः  गायत्री ।।
17           | 10     | ।। बिन्दुः पूतदक्षो वा आंगिरसः इन्द्रः (मरुतः) गायत्री ।।
18           | 1      | ।। देवजामय इन्द्रमातरः इन्द्रः  गायत्री ।।
18           | 2      | ।। गोधा ऋषिका इन्द्रः  गायत्री ।।
18           | 3      | ।। दध्यङ्गाथर्वणः इन्द्रः  गायत्री ।।
18           | 4      | ।। प्रस्कण्वः काण्वः इन्द्रः (अश्विनौ) गायत्री ।।
18           | 5      | ।। गौतमो राहूगणः इन्द्रः  गायत्री ।।
18           | 6      | ।। मधछु न्दा वैश्वामित्रः इन्द्रः  गायत्री ।।
18           | 7      | ।। वामदेवो गौतमः इन्द्रः  गायत्री ।।
18           | 8      | ।। वत्सः काण्वः इन्द्रः  गायत्री ।।
18           | 9      | ।। शुनः शेप आजीर्गितः इन्द्रः  गायत्री ।।
18           | 10     | ।। उलो वातायनः इन्द्रः (वायुः) गायत्री ।।
19           | 1      | ।। कण्वो घौरः इन्द्रः (वरुणमित्रा-यर्मणः) गायत्री ।।
19           | 2      | ।। वत्सः (वशोऽश्वयः) काण्वः इन्द्रः  गायत्री ।।
19           | 3      | ।। वत्सः  काण्वः इन्द्रः  गायत्री ।।
19           | 4      | ।। श्रुतकक्षः सुकक्षो वा आंगिरसः इन्द्रः  गायत्री ।।
19           | 5      | ।। मधछु न्दा वैश्वामित्रः इन्द्रः  गायत्री ।।
19           | 6      | ।। वामदेवो गौतमः इन्द्रः  गायत्री ।।
19           | 7      | ।। इरिम्बिठः काण्वः इन्द्रः  गायत्री ।।
19           | 8      | ।। सत्यव्रतबाऱुणिः इन्द्रः (आदित्यः) गायत्री ।।
19           | 9      | ।। वत्सः (वशोऽश्वयः) काण्वः इन्द्रः  गायत्री ।।
20           | 1      | ।। प्रगाथः काण्वः इन्द्रः  गायत्री ।।
20           | 2      | ।। विश्वामित्रो गाथिनः इन्द्रः  गायत्री ।।
20           | 3      | ।। वामदेवो गौतमः इन्द्रः  गायत्री ।।
20           | 4      | ।। श्रुतकक्षः आंगिरसः (सुकक्षोः वा) इन्द्रः  गायत्री ।।
20           | 5      | ।। मधछु न्दा वैश्वामित्रः इन्द्रः  गायत्री ।।
20           | 6      | ।। श्रुतकक्षः आंगिरसः (सुकक्ष आंगिरसः) इन्द्रः  गायत्री ।।
20           | 7      | ।। गृत्समदः शौनकः इन्द्रः  गायत्री ।।
20           | 8      | ।। भरद्वाजः (– शयुः) बार्हस्पत्यः इन्द्रः  गायत्री ।।
20           | 9      | ।। भरद्वाजः (–) बार्हस्पत्यः इन्द्रः (इन्द्रापषूणौ) गायत्री ।।
20           | 10     | ।। वामदेवो गौतमः इन्द्रः  गायत्री ।।
21           | 1      | ।। त्रिशोकः काण्वः इन्द्रः गायत्री ।।
21           | 2      | ।। मधछु न्दा वैश्वामित्रः इन्द्रः गायत्री ।।
21           | 3      | ।। वत्सः काण्वः (वशोऽश्वयः) इन्द्रः गायत्री ।।
21           | 4      | ।। त्रिशोकः काण्वः इन्द्रः गायत्री ।।
21           | 5      | ।। सुकक्ष आंगिरसः इन्द्रः गायत्री ।।
21           | 6      | ।। वामदेवो गौतमः इन्द्रः गायत्री ।।
21           | 7      | ।। विश्वामित्रो गाथिनः। इन्द्रः गायत्री ।।
21           | 8      | ।। गोषूकश्वसूनूकाण्वायनाै इन्द्रः गायत्री ।।
21           | 9      | ।। वामदेवो गौतमः इन्द्रः गायत्री ।।
21           | 10     | ।। श्रुतकक्षः सुकक्षो वा आंगिरसः इन्द्रः गायत्री ।।
22           | 1      | ।। शुनः शेप आजीर्गितः इन्द्रः  गायत्री ।।
22           | 2      | ।। श्रुतकक्ष आंगिरसः (सुकक्षो आंगिरसो वा) इन्द्रः  गायत्री ।।
22           | 3      | ।। त्रिशोकः काण्वः इन्द्रः  गायत्री ।।
22           | 4      | ।। मेधातिथिः काण्वः इन्द्रः  गायत्री ।।
22           | 5      | ।। गौतमो राहूगणः इन्द्रः (विश्वेदेवाः) गायत्री ।।
22           | 6      | ।। ब्रहमातिथिः काण्वः अश्विनौ मित्रावरुणौ गायत्री ।।
22           | 7      | ।। विश्वामित्रो गाथिनो जमदग्निवा इन्द्रः  गायत्री ।।
22           | 8      | ।। प्रस्कण्वः काण्वः (कण्वो घौराः) मरुतः गायत्री ।।
22           | 9      | ।। मेधातिथिः काण्वः विष्णुः गायत्री ।।
22           | 10     | ।। इन्द्रः  गायत्री ।।
23           | 1      | ।। मेधातिथिः काण्वः इन्द्रः गायत्री ।।
23           | 2      | ।। वामदेवो गौतमः इन्द्रः गायत्री ।।
23           | 3      | ।। मेधातिथिः काण्वः, प्रियमेधश्चांगिरसः इन्द्रः गायत्री ।।
23           | 4      | ।। विश्वामित्रो गाथिनः इन्द्रः गायत्री ।।
23           | 5      | ।। मेधातिथिः काण्वः, प्रियमेधश्चांगिरसः इन्द्रः गायत्री ।।
23           | 6      | ।। दुमित्रः (सुमित्रो वा) कौत्सः इन्द्रः गायत्री ।।
23           | 7      | ।। मेधातिथिः काण्वः इन्द्रः गायत्री ।।
23           | 8      | ।। मेधातिथिः काण्वः इन्द्रः गायत्री ।।
23           | 9      | ।। विश्वामित्रो गाथिनोऽभीपाद उदलो वा इन्द्रः गायत्री ।।
23           | 10     | ।। श्रुतकक्षः (सुकेवा) आंगिरसः इन्द्रः गायत्री ।।
24           | 1      | ।। वसिष्ठो मैत्रावरुणिः इन्द्रः ।।
24           | 2      | ।। भरद्वाजः (शयुः) बार्हस्पत्यः इन्द्रः ।।
24           | 3      | ।। प्रस्कण्वः इन्द्रः ।।
24           | 4      | ।। नोधा गौतमः इन्द्रः ।।
24           | 5      | ।। कलिः प्रागाथः। इन्द्रः ।।
24           | 6      | ।। वसिष्ठो मैत्रावरुणिः इन्द्रः ।।
24           | 7      | ।। मेधातिथिः काण्वः इन्द्रः ।।
24           | 8      | ।। भगः प्रागाथः इन्द्रः ।।
24           | 9      | ।। वसिष्ठो मैत्रावरुणिः मरुतः बृहती ।।
24           | 10     | ।। प्रगाथो घौरः काण्वः इन्द्रः ।।
25           | 1      | ।। पुरुहन्मा आंगिरसः इन्द्रः बृहती ।।
25           | 2      | ।। मेधातिथि – मध्येआतिथी काण्वौ इन्द्रः बृहती ।।
25           | 3      | ।। मेधातिथि – मध्येआतिथी काण्वौ इन्द्रः बृहती ।।
25           | 4      | ।। विश्वामित्रो गाथिनः इन्द्रः बृहती ।।
25           | 5      | ।। गौतमो (गौतमो वा) राहूगणः इन्द्रः बृहती ।।
25           | 6      | ।। नमृधे पुरुमेधावांगिरसौ इन्द्रः बृहती ।।
25           | 7      | ।। मेधातिमध्येआतिथी (मध्येआतिथिः) काण्वः इन्द्रः बृहती ।।
25           | 8      | ।। मेधातिमध्येआतिथी (मध्येआतिथिः) काण्वः इन्द्रः बृहती ।।
25           | 9      | ।। मेधातिमध्येआतिथी (मध्येआतिथिः) काण्वः इन्द्रः बृहती ।।
25           | 10     | ।। देवातिथिः काण्वः इन्द्रः बृहती ।।
26           | 1      | ।। भगः प्रागाथः इन्द्रः बृहती ।।
26           | 2      | ।। रेभः कश्यपः इन्द्रः बृहती ।।
26           | 3      | ।। जमदग्निभागर्वः मित्रावरुणादित्याः बृहती ।।
26           | 4      | ।। मेधातिथिः काण्वः (मध्येआतिथिः काण्वः) इन्द्रः बृहती ।।
26           | 5      | ।। नमृधे पुरुमेधावांगिरसौ इन्द्रः बृहती ।।
26           | 6      | ।। नमृधे पुरुमेधावांगिरसौ इन्द्रः बृहती ।।
26           | 7      | ।। वसिष्ठो मैत्रावरुणिः इन्द्रः बृहती ।।
26           | 8      | ।। रेभः कश्यपः इन्द्रः बृहती ।।
26           | 9      | ।। मेधातिथिः काण्वः (मध्येआतिथिः काण्वः) इन्द्रः बृहती ।।
26           | 10     | ।। भरद्वाजः (शयुः) बार्हस्पत्यः इन्द्रः बृहती ।।
27           | 1      | ।। मेधातिथिः (मध्येआतिथिः) काण्वः इन्द्रः बृहती ।।
27           | 2      | ।। रेभः कश्यपः इन्द्रः बृहती ।।
27           | 3      | ।। वत्सः (वशोऽश्वयः) इन्द्रः बृहती ।।
27           | 4      | ।। भरद्वाजः (शयुः) बार्हस्पत्यः इन्द्रः बृहती ।।
27           | 5      | ।। नमृधे आंगिरसः इन्द्रः बृहती ।।
27           | 6      | ।। पुरुहन्मा आंगिरसः इन्द्रः बृहती ।।
27           | 7      | ।। नमृधे- पुरुमेधाषांगिरसौ इन्द्रः बृहती ।।
27           | 8      | ।। वसिष्ठो मैत्रावरुणिः इन्द्रः बृहती ।।
27           | 9      | ।। मेधातिथि-मध्येआतिथी काण्वौ इन्द्रः बृहती ।।
27           | 10     | ।। कलिः प्रागाथः इन्द्रः बृहती ।।
28           | 1      | ।। पुरुहन्मा आंगिरसः इन्द्रः  बृहती ।।
28           | 2      | ।। भगः प्रागाथः इन्द्रः  बृहती ।।
28           | 3      | ।। इरिम्बिठः काण्वः इन्द्रः (वास्तोष्पतिवा) बृहती ।।
28           | 4      | ।। जमदग्निभागर्वः इन्द्रः (सूर्यः) बृहती ।।
28           | 5      | ।। देवातिथिः काण्वः इन्द्रः  बृहती ।।
28           | 6      | ।। पुरुहन्मा आंगिरसः इन्द्रः  बृहती ।।
28           | 7      | ।। देवातिथिः काण्वः इन्द्रः  बृहती ।।
28           | 8      | ।। वसिष्ठो मैत्रावरुणिः इन्द्रः  बृहती ।।
28           | 9      | ।। भरद्वाजो बार्हस्पत्यः इन्द्रः (इन्द्राग्नी) बृहती ।।
28           | 10     | ।। मध्येः काण्वः इन्द्रः  बृहती ।।
29           | 1      | ।। नमृधे आंगिरसः इन्द्रः  बृहती ।।
29           | 2      | ।। वसिष्ठो मैत्रावरुणिः इन्द्रः  बृहती ।।
29           | 3      | ।। वसिष्ठो मैत्रावरुणिः इन्द्रः  बृहती ।।
29           | 4      | ।। भरद्वाजः (शयुः) बार्हस्पत्यः इन्द्रः  बृहती ।।
29           | 5      | ।। पुरुच्छेपो देवोदासिः इन्द्रः (शिवनौ) बृहती ।।
29           | 6      | ।। वामदेवो गौतमः इन्द्रः  बृहती ।।
29           | 7      | ।। मध्येआतिथिः काण्वः इन्द्रः  बृहती ।।
29           | 8      | ।। भगः प्रागाथः इन्द्रः  बृहती ।।
29           | 9      | ।। मेधातिथि –मध्येआतिथी काण्वौ इन्द्रः  बृहती ।।
29           | 10     | ।। मेधातिथि –मध्येआतिथी काण्वौ इन्द्रः  बृहती ।।
30           | 1      | ।। वसिष्ठो मैत्रावरुणिः इन्द्रः बृहती ।।
30           | 2      | ।। वामदेवो गौतमः इन्द्रः बृहती ।।
30           | 3      | ।। मेधातिथि-मध्येआतिथी काण्वौ, विश्वामित्र इत्यकेे इन्द्रः बृहती ।।
30           | 4      | ।। नोधा गौतमः इन्द्रः बृहती ।।
30           | 5      | ।। मेधातिथिः (मध्येआतिथिः) काण्वः इन्द्रः बृहती ।।
30           | 6      | ।। वामदेवो गौतमः इन्द्रः बृहती ।।
30           | 7      | ।। वामदेवो गौतमः बहुः बृहती ।।
30           | 8      | ।। श्रुष्टिगुः काण्वः इन्द्रः बृहती ।।
30           | 9      | ।। मध्येआतिथिः (मेधातिथिर्वा) काण्वः इन्द्रः बृहती ।।
30           | 10     | ।। नमृधे आंगिरसः इन्द्रः बृहती ।।
31           | 1      | ।। उषा बृहती ।।
31           | 2      | ।।  अश्विनौ बृहती ।।
31           | 3      | ।।  अश्विनौ बृहती ।।
31           | 4      | ।। प्रस्कण्वः काण्वः बृहती ।।
31           | 5      | ।। मेधातिथि-मध्येआतिथी काण्वौ बृहती ।।
31           | 6      | ।। देवातिथिः काण्वः बृहती ।।
31           | 7      | ।। वसिष्ठो मैत्रावरुणिः बृहती ।।
31           | 8      | ।। वसिष्ठो मैत्रावरुणिः बृहती ।।
31           | 9      | ।। नमृधे आंगिरसः बृहती ।।
31           | 10     | ।। नोधाः गौतमः इन्द्रः बृहती ।।
32           | 1      | ।। वसिष्ठो मैत्रावरुणिः इन्द्रः  त्रिष्टुप् ।।
32           | 2      | ।। वसिष्ठो मैत्रावरुणिः इन्द्रः  त्रिष्टुप् ।।
32           | 3      | ।। गातरात्रयेः इन्द्रः  त्रिष्टुप् ।।
32           | 4      | ।। पृतवु्न्यः इन्द्रः  त्रिष्टुप् ।।
32           | 5      | ।। सप्त्तगुरांगिरसः इन्द्रः (इन्द्रो वैकुण्ठः) त्रिष्टुप् ।।
32           | 6      | ।। वसिष्ठो मैत्रावरुणिः इन्द्रः  त्रिष्टुप् ।।
32           | 7      | ।। गौिरवीितः शाक्ः इन्द्रः  त्रिष्टुप् ।।
32           | 8      | ।। वेनो भागर्वः वेनः त्रिष्टुप् ।।
32           | 9      | ।। बृहस्पतिकुलो वा इन्द्रः  त्रिष्टुप् ।।
32           | 10     | ।। सुहोत्रो भारद्वाजः इन्द्रः  त्रिष्टुप् ।।
33           | 1      | ।। द्युतानो मारुतः (तिरश्चीरांगिरसः) इन्द्रः त्रिष्टुप् ।।
33           | 2      | ।। द्युतानो मारुतः (तिरश्चीरांगिरसः) इन्द्रः त्रिष्टुप् ।।
33           | 3      | ।। बृहदुक्तो वामदेव्यः इन्द्रः त्रिष्टुप् ।।
33           | 4      | ।। द्युतानो मारुतः (तिरश्चीरांगिरसः) इन्द्रः त्रिष्टुप् ।।
33           | 5      | ।। वामदेवोः गोतमः इन्द्रः त्रिष्टुप् ।।
33           | 6      | ।। वसिष्ठो मैत्रावरुणिः इन्द्रः ऋषि: विराट् ।।
33           | 7      | ।। विश्वामित्रो गाथिनः इन्द्रः त्रिष्टुप् ।।
33           | 8      | ।। वसिष्ठो मैत्रावरुणिः इन्द्रः त्रिष्टुप् ।।
33           | 9      | ।। गौिरवीितः शाक्ः इन्द्रः त्रिष्टुप् ।।
